role,company,exp,salary,location,desc,req
"Analyst , Data Intelligence Engineer - IT",Secureworks,4-9 Yrs,Not disclosed,Hyderabad,Dell IT Overview: Dell creates technology solutions for a changing world. Our Informati...,"Unix
MS SQL
Coding
Debugging
EMC
Scrum
Informatica
Teradata"
Business Analyst/senior Business Analyst - Data Analytics- BFSI Domain,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,"Delhi NCR, Bengaluru, Gurgaon",Desired Experience : - 2-5 years of total experience of Data Analytics / Data Insights ...,"SAS
Business Analyst
Data Management
Data Insights
Data Analytics
Analytics"
Global Insights Industry Analyst,Gracenote,5-7 Yrs,Not disclosed,Mumbai,"The Market Insights team is responsible for providing standard, critical, insights to P...","Data management
Analytical
Genetics
Data analytics
QlikView
Business intelligence
consumer goods
Operations"
Data Engineer Ideata Analytics,Analytics Vidhya Educon Pvt. Ltd,1-3 Yrs,Not disclosed,Indore,"Job description: Looking for a talented data engineer to be the designer, owner, and ma...","Maven
GIT
Data management
XML
Machine learning
HTML
JSON
Open source"
Analyst - Consumer Data Projects,GD Research Center Pvt Ltd,2-4 Yrs,Not disclosed,Hyderabad,Person Specification The person should have excellent analytical abilities and good res...,"Senior Analyst
Analytical
Data Research Analyst
market data
Research
Secondary research"
Data Quality Assurance Analyst,Realct Business Solution,2-7 Yrs,Not disclosed,Indore,"Primary Job Duties: Work with stakeholders, product owners and engineers to understand ...","Quality Assurance Analyst
Root cause analysis
Interpersonal skills
Agile
Regression testing
business rules
Data quality
Test cases"
Analytics Lead Data Engineer,Ralph Lauren,8-13 Yrs,Not disclosed,Bengaluru,"Purpose Scope: The Lead Data Engineer will collaborate with line of business users, bus...","Microstrategy
Automation
MIS
Agile
Business intelligence
Open source
Information technology
Virtualization"
Data Engineer,Snaphunt,1-5 Yrs,Not disclosed,Mumbai,The Offer Opportunity to hone skills in a fast-growing media startupAmple career develo...,"R
NoSQL
Scalability
Social Media
Data Structures
Big Data
Data Analytics
AWS"
Programmer/Analyst,Netapp India Private Limited,2-5 Yrs,Not disclosed,Bengaluru,"Experience with various data systems like Oracle Data Warehouse, SAP HANA, Hadoop / Hiv...","Big Data Analytics
Presto
NoSQL
Artificial Intelligence
Hadoop
Data Modeling
Machine Learning
Predictive Analytics"
Business Analyst - Analytics - Iit/bits/nit/iim/isb,TalentStack,0-4 Yrs,Not disclosed,Mumbai,Key Responsibilities and Accountability : - Support business leaders on conducting Busi...,"C#
Java
data analysis
Database querying
Data Analytics
Analytics
SQL
Python"
Big Data Engineer/manager - Hadoop/java/python,Catalyst,6-11 Yrs,Not disclosed,Bengaluru,Ability to analyze business requirement user stories and model it to domain based servi...,"Java
Storm
Cloudera
Hadoop
Mapreduce
Hdfs
Impala
HBase"
Data Engineer - Scala/kafka,Buzzhire,2-7 Yrs,Not disclosed,"Delhi NCR, Mumbai, Bengaluru, Gurgaon",BachelorsMasters in Computer Science or equivalent experience Required Skills : - 2+ ye...,"IT Skills
Java
Python
Cloud
Big Data
AWS
Golang
NLP"
Data Engineer - Azure Databricks,Scienaptic Systems,3-5 Yrs,Not disclosed,Bengaluru,Work with client to create and optimize critical batch processing jobs in Spark Key Res...,"Azure
Data Pipeline
Scala
Azure Databricks
Spark
Data Warehousing
Data Analytics
Distributed Systems"
Data Engineer,Netapp India Private Limited,8-12 Yrs,Not disclosed,Bengaluru,"Experience with various data systems like Oracle Data Warehouse, SAP HANA, Hadoop / Hiv...","Big Data Analytics
Hive
Presto
Artificial Intelligence
Hadoop
Oracle Development
Machine Learning
SQL"
Data Engineer,DataKare Solutions,0-2 Yrs,Not disclosed,Hyderabad,"Responsibilities As a Data Engineer, you would be building pipelines, warehouses that p...","Cloud computing
PDF
Linux
Data management
Coding
Analytical
Shell scripting
Machine learning"
Data Engineer,Wavelabs,3-5 Yrs,Not disclosed,Hyderabad,Job Description ? Should have experience in GCP (Google Compute Platform) and Google Au...,"SQL queries
GCP
Artificial Intelligence
Machine learning
Agile
Manager Technology
Data analytics
Customer experience"
Test Analyst,Talent Power Consulting,3-7 Yrs,Not disclosed,Pune,"Job Description Must Have Skills (Top 3 technical skills only) 1. Java, Spring Boot, SQ...","spring boot
Core Java
github
GIT
Data management
SQL database
Database management
Consulting"
Sr. Software Engineer - Big Data / Azure,Yash Technologies Pvt ltd,3-8 Yrs,Not disclosed,Indore,What you should have? Bachelors/master?s degree in quantitative field (Statistics/ Busi...,"Business process
Computer science
big data analytics
Machine learning
Cloud
data visualization
big data
Analytics"
Big Data Engineer,The Stars Group,1-6 Yrs,Not disclosed,Hyderabad,The role: We are looking for a Big Data Engineer to join our busy and dynamic Business ...,"Backend
Data management
data security
Data structures
Business intelligence
Gaming
Analytics
SQL"
Analyst-Process Engineering,Verizon Data Services India Pvt.Ltd,2-5 Yrs,Not disclosed,Chennai,Support the design and implementation of customer experience initiatives by translating...,"IT Skills
Machine Learning
Excel
SAS
Data management
Competitive analysis
Analytical
Trend analysis"
Analyst-Process Engineering,Verizon Data Services India Pvt.Ltd,2-5 Yrs,Not disclosed,Hyderabad,Support the design and implementation of customer experience initiatives by translating...,"IT Skills
Machine Learning
Excel
SAS
Data management
Competitive analysis
Analytical
Trend analysis"
Analyst- Modelling,Repucom,2-5 Yrs,Not disclosed,Vadodara,RESPONSIBILITIES Independent execution of projects in the space of Price & Promotion Ev...,"Analyst
Time management
Market research
M&A
Actuarial
Data analytics
Mathematics
MS Office"
Analyst- Modelling,The Nielsen Company,1-4 Yrs,Not disclosed,Vadodara,RESPONSIBILITIES Independent execution of projects in the space of Price Promotion Ever...,"Time management
Market research
M&A
Actuarial
Data analytics
Mathematics
MS Office
big data"
EDI Claims Encounter Analyst,Valence Health,3-5 Yrs,Not disclosed,Pune,"Position summary Responsible for timely, complete, and accurate encounter data submissi...","IT Skills
Testing
Microstrategy
Data management
Workflow
EDI
SSIS
Troubleshooting"
EDI Claims Encounter Analyst,Valence Health,5-7 Yrs,Not disclosed,Pune,"Position summary Responsible for timely, complete, and accurate encounter data submissi...","Microstrategy
Data management
Workflow
EDI
SSIS
Troubleshooting
JIRA
Information technology"
Data Analyst,Highbro Interactive Pvt. Ltd,1-2 Yrs,"90,000 - 1,75,000 PA.",Kolkata,"Male & Female both preferred .Salary- upto 15k Collecting, interpreting data, Analysing...","data management
data mining
Data Analysis"
EDI Claims Encounter Analyst,Valence Health,3-5 Yrs,Not disclosed,Pune,"Position summary Responsible for timely, complete, and accurate encounter data submissi...","IT Skills
Testing
Microstrategy
Data management
Workflow
EDI
SSIS
Troubleshooting"
EDI Claims Encounter Analyst,Valence Health,5-7 Yrs,Not disclosed,Pune,"Position summary Responsible for timely, complete, and accurate encounter data submissi...","Microstrategy
Data management
Workflow
EDI
SSIS
Troubleshooting
JIRA
Information technology"
Data Analyst,Highbro Interactive Pvt. Ltd,1-2 Yrs,"90,000 - 1,75,000 PA.",Kolkata,"Male & Female both preferred .Salary- upto 15k Collecting, interpreting data, Analysing...","data management
data mining
Data Analysis"
Data Process & Ingestion Engineer - PowerShell/Power BI,CarbyneTech India,3-8 Yrs,Not disclosed,Hyderabad,"Experience in learning and adapting to multiple data related cloud services, programmin...","Data Ingestion
PowerShell
Azure Data Factory
Azure
Power BI
Data Management
Data Visualization
Spark"
Database Analyst,IVY SOFTWARE DEVELOPMENT SERVICES PVT LTD,6-8 Yrs,Not disclosed,Hyderabad,Must have demonstrated competency / expertise in the following key areas: Should have h...,"Query Optimization
Query Tuning
Oracle SQL
Stored Procedures
PLSQL
Data Modeling
Data Warehousing
Dashboards"
Attractive salary package For Business analyst role,360 Degree Cloud Technologies Private Limted,0-0 Yrs,Not disclosed,"Faridabad, Noida",1. Excellent communication skills. 2. Should be flexible with shift. 3. Candidate must ...,"Business Analytics
Data Analytics"
Quality Analyst - ChatBot,Pinnacleworks Infotech Pvt Ltd,0-2 Yrs,"3,00,000 - 4,00,000 PA.","Delhi NCR, Gurgaon",SKILLS REQUIRED :: better in terms of user experienceGood analytical abilities and logi...,"QA
SQA
Client Onboarding
Market Study
Quality Analysis
Software Quality Assurance
Research Development
Quality Consultant"
Senior Logistics Analyst,WMI Konecranes India Limited,5-7 Yrs,Not disclosed,Chennai,Senior Logistics Analyst India Procurement Service Center Graduation/Post Graduation/PG...,"Procurement
SAP
Networking
Data management
Analytical
MS Office
Continuous improvement
Operations"
Data Management Engineer,Smarsh India,2-7 Yrs,Not disclosed,Bengaluru,Roles & Responsibilities Migration Solution Module Development VAMs Development Migrati...,"Linux
Data management
Coding
Social media
Customer service
Windows
MS Office
Business intelligence"
Data Management Engineer,actiance,5-7 Yrs,Not disclosed,Bengaluru,Roles & Responsibilities Migration Solution Module Development VAMs Development Migrati...,"Linux
Data management
Coding
Social media
Customer service
Windows
MS Office
Business intelligence"
Analyst - Regulatory Information Management System,Novo Nordisk India,6-8 Yrs,Not disclosed,Bengaluru,"As an Analyst, you will responsible to perform data entry in Regulatory database (RIMS)...","Business services
Data management
Analytical
Pharmacy
Workflow
Information management
MS Office
Adobe"
Lead Analyst Product Transformation,Ralph Lauren,4-6 Yrs,Not disclosed,Bengaluru,"The teams will look to leverage key existing technologies at RL in PLM, SAP, 3D Product...","PLM
Computer science
Change management
SAP
Data management
Business analysis
Analytical
Data quality"
Data project Analyst,VEGA Intellisoft Private Limited,2-4 Yrs,Not disclosed,Chennai,Position Summary Responsible for managing data required for client deliveries and inter...,"Data management
Analytical
MS Outlook
Reconciliation
Project Analyst
MS Office
Project delivery
Financial services"
Growth Analyst - Talent Sourcing,Entrepreneur First Team,1-2 Yrs,Not disclosed,Bengaluru,The Role We are looking for someone passionate about discovering entrepreneurial talent...,"Relationship management
Lead generation
Data management
Coding
Wellness
Talent sourcing
Entrepreneur
Stakeholder management"
Manager Business Analyst,Standard Chartered Bank,7-12 Yrs,"17,00,000 - 25,00,000 PA.",Chennai,"As part of the BCBS (Basel Committee on Banking Supervision) 239 requirements, SCB and ...","Business Intelligence
Data Quality
Data Management
Data Profiling
Data Cleansing
Basel Iii
Data Governance
Risk Management"
Business Analyst,nThrive Global Solutions Private Limited,3-7 Yrs,"3,00,000 - 6,00,000 PA.",Noida,"Essential Duties and Responsibilities:Prepare client specific reports by collecting, an...","Power Bi
User Acceptance Testing
Monthly Reports
Data Management
Functionality Testing
Analytics
Business Analysis"
Urgent hiring For Google Data Analyst - MNC-Andheri,PES HR Services a div of AMAL INFOSYSTEMS Pvt Ltd,5-7 Yrs,Not disclosed,Mumbai,share CV at rutuja@peshr.com Experience in data visualization & presentationExcellent c...,"Google Analytics
SAS
BI
Product Analysis
Data Analysis
Advanced Excel
Reporting
Data Analytics"
Reporting Analyst,Wolters Kluwer India Pvt Ltd,3-6 Yrs,Not disclosed,Pune(Kalyani Nagar),"Brief Job Description: Create dashboards and reports within Tableau, publishing reports...","data quality
tableau
data modeling
etl tool
BI
data visualization
pl
Data Analytics"
Urgent hiring For Google Data Analyst - MNC-Andheri,PES HR Services a div of AMAL INFOSYSTEMS Pvt Ltd,5-10 Yrs,Not disclosed,Mumbai,share CV at pooja@peshr.com Experience in data visualization & presentationExcellent cr...,"Google Analytics
SAS
Bi
SQL Queries
Advanced Excel
Reporting
product Analytics
talbeau"
Data Analyst -Mumbai- Immediate,PES HR Services a div of AMAL INFOSYSTEMS Pvt Ltd,5-10 Yrs,Not disclosed,Mumbai,share at sucheta@peshr.com Good Comm Skill.Experience in data visualization & presentat...,"Google Analytics
SAS
Bi
Product Analytics
Tableau
Reporting
Mixpanel
SQL queries"
Senior Business Analyst - Data Analytics /data Insights Generation,Huquo Consulting Pvt. Ltd,4-6 Yrs,Not disclosed,Delhi NCR,Good communication / problem solving / analytical bent of min Experience in credit card...,"Consulting - BFSI
SAS
Data Analytics
Statistics
Analytics"
Senior Data & Analytics Engineer,Trane Technologies,2-6 Yrs,Not disclosed,Bengaluru,"Job Summary: In this role, you will be part of Trane Technologies Data Analytics develo...","Business objects
SAP
Data modeling
Cognos
Agile
Software development life cycle
Oracle business intelligence
Oracle BI"
SQL Engineers -Join World's Leading Cloud & Big Data Analytics Company,Datametica Solutions Pvt Ltd,1-5 Yrs,Not disclosed,Pune,Hands-on at least one scripting language - preferably shell scriptingWould be part of t...,"PL / SQL
SQL"
"Expert Data Analyst To Work at Worli, South Mumbai Job Code: Dawsm",AJAX Consulting,4-7 Yrs,Not disclosed,Mumbai(Worli),Possesses top notch MS Excel skills Strong verbal & written comm skills Has a maximum o...,"excel
Modern Retail
data analysis
MIS
hypermarkets
Data Analytics
supermarkets
MIS Reporting"
Urgent Hiring For MIS Executive,SR Expert Services,2-7 Yrs,Not disclosed,Delhi NCR(Model Town),Note- Only Male candidate can apply,"Monthly Reports
Google suites
data analysis officer
Google Sheet
Data Management Executive
data management officer
Data Collection
mis representative"
MIS Executive Guwahati,North West Carrying Company LLP,3-6 Yrs,"1,50,000 - 3,00,000 PA.",Guwahati,Minimum of 5 yrs experience in a customer service position / Program Management Profici...,"Soft Skills
Good Communication
Data Management
Data Analysis
Data Extraction
Advanced Excel
MS Office
Leadership Skills"
Business Analyst - Reporting + Analytics - BFSI,Huquo Consulting Pvt. Ltd,1-2 Yrs,Not disclosed,Bengaluru,Experience of handling a team of analysts working on various MIS with strick timelines ...,"Consulting - BFSI
VBA Automation
SAS
VBA
/ R/Python
Data Analytics
Statistics
Analytics"
Udaan | Hiring For Business / SCM Analyst in Jaipur.,HIVELOOP TECHNOLOGY PRIVATE LIMITED,4-9 Yrs,"6,00,000 - 12,00,000 PA.",Jaipur,Good in Supporting the Business in Problem solvingGood in Data analytics and providing ...,"Gap Analysis
R
Program Management
Business Analytics
Problem Solving
Data Analytics
Analytical Review
Trend Analysis"
Business Analyst (SQL) - Immediate Joiner,CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,1-5 Yrs,Not disclosed,Mumbai,"graduate to take up the role as a Business Analyst, holding 2-3 years of experience in ...","Business Analytics
Problem Solving
Business Insights
Tableau
Dashboards
Data Analytics
SQL
Business Analysis"
"Business Analyst (MySQL,Python,Tableau) - Immediate Joiners",CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,2-5 Yrs,Not disclosed,Mumbai,Job opportunity in Mumbai for a IIT / NIT graduate to take up the role as a Business An...,"MySQL
Problem Solving
Tableau
Dashboards
Data Analytics
SQL
Python
Business Analysis"
Senior Business Analyst - Machine Learning - R/ Python + SAS - BFSI,Huquo Consulting Pvt. Ltd,2-3 Yrs,Not disclosed,Noida,We are looking for candidates with experience in the following skill sets.- Natural Lan...,"Predictive Modeling
Consulting - BFSI
NLP
SAS
Big Data
Data Analytics
Machine Learning
Statistics"
Senior Business Analyst/ Manager - Insurance Analytics - Sas/r/python,Huquo Consulting Pvt. Ltd,2-7 Yrs,Not disclosed,Gurgaon,Tools & Certification : Experienced and competent in the use of statistical packages e....,"SAS
Statistical Modeling
Regression
linear regression
Data Modeling
Data Analytics
Clustering
Statistics"
SEO Analyst - Remote,Coalition India,0-5 Yrs,Not disclosed,"Pune, Delhi NCR, Bengaluru, Amritsar, Chandigarh, Hyderabad",After successfully completing the initial training period you should also be able to pe...,"IT Skills
PHP
HTML
CSS
Javascript
analytics
css
data analytics"
PPC / SEM Analyst - Remote,Coalition India,0-5 Yrs,Not disclosed,"Pune, Delhi NCR, Bengaluru, Amritsar, Chandigarh, Hyderabad","TO APPLY, PLEASE RIGHT CLICK ON THE LINK BELOW:https://bit.ly/3kmpgizYOU SHOULD HAVE: A...","IT Skills
Testing
analytics
css
data analytics
Wordpress
Jquery
market research"
Business Analyst,Varite,5-10 Yrs,Not disclosed,Bengaluru,"Primary Skills advanced Tableau functionality, or Advanced EXcel Job Summary: Reporting...","metadata
Excel
Data management
Trend analysis
Data collection
Agile
PLSQL
Data quality"
Business Analyst,Quantiphi Analytics Solutions Pvt. Ltd.,1-5 Yrs,Not disclosed,Mumbai,Responsibilities: Work in conjunction of a decision science and data analytics team gat...,"Offshore
Value added services
Business Analyst
Creative
Business research
Business analysis
Data analytics
Subject matter expertise"
Business Analyst,Valence Health,1-3 Yrs,Not disclosed,Pune,Optional: Who You ll Be Working With: We are looking for bright and energetic individua...,"Business process
FTP
Data management
Business analysis
CMS
System design
Test cases
EDI"
Business Analyst,e-ql Business Solutions Private Limited,5-10 Yrs,Not disclosed,Mumbai,"BE/ MBA- IT/ MCA/ MCM having 5+ years experience in Software Project Analysis, Manageme...","Team management
Data management
Project management
Online sales
Strategic planning
Market research
Key account management
Distribution network"
Business Analyst,Analytics Vidhya Educon Pvt. Ltd,1-5 Yrs,Not disclosed,Bengaluru,Ability to analyze Big data and do Machine learning are 2 of the hottest skills to have...,"Telecom
C++
data science
Data management
Consulting
Data structures
Healthcare
HTML"
Senior Business Analyst - Sas/model Development/analytics,Huquo Consulting Pvt. Ltd,2-4 Yrs,Not disclosed,"Bengaluru, Gurgaon","SAS is Mandatory - Use sophisticated statistical techniques to develop scorecards, cust...","Predictive Modeling
SAS
Data Management
Statistics
Analytics
Business Analysis
SQL"
Business Analyst -customer Data Management - Bangalore - Marathahalli,Varite India Pvt. Ltd.,1-3 Yrs,Not disclosed,Bengaluru,Willing to work in rotation shift based on business requirement every quarterShould be ...,"Communication Skills
Sales Support
Data Management
Quality Check
User Acceptance
MS Office
Project Coordination
Computer Skills"
"Business Analyst, R&D",Aptean,2-5 Yrs,Not disclosed,Bengaluru,Open Position : Business Analyst Mandate/Role This position works closely with Product ...,"Computer science
Product management
ERP
Data management
Customer support
VB
microsoft
CRM"
Senior Business Analyst - SAS + Modeling - Analytics,Huquo Consulting Pvt. Ltd,4-6 Yrs,Not disclosed,Gurgaon,Candidate is expected to bring in a consultative mindset and problem solving approach a...,"Predictive Modeling
Consulting - BFSI
SAS
Statistical Modeling
Data Analytics
Statistics
Analytics
Predictive Analytics"
Senior Business Analyst - SAS Modeling - Insurance/banking Vertical,Huquo Consulting Pvt. Ltd,2-7 Yrs,Not disclosed,Gurgaon,Candidate should have excellent communication skills to interact with senior clients Sh...,"Predictive Modeling
Consulting - BFSI
SAS
Senior Business Analyst
Data Modeling
Data Analytics
Analytics
Business Analysis"
We're Hiring - Credit Analyst,PUMA ENERGY PROCESSING SERVICES LLP,3-7 Yrs,Not disclosed,Mumbai(Bandra Kurla Complex),Minimum 3 years experience as a credit analystMicrosoft Office proficient Prepare repor...,"Financial Reporting
Master Data Management
Credit Risk Analysis
Credit Analyst
Communication Skills
Written Communication
Credit Risk Management
Accounting"
Business Analyst - Banking/ Retail Analytics,Huquo Consulting Pvt. Ltd,1-5 Yrs,Not disclosed,"Delhi NCR, Bengaluru, Gurgaon",1. 1-5 years of total experience of Data Analytics / Data Insights Generation 2. Proven...,"Consulting - BFSI
SAS
Retail Analytics
Data Analytics
Statistics
Analytics
Consulting - Retail"
Business Analyst & Corporate Finance,ADROIT LEARNING AND MANPOWER PVT LTD,2-7 Yrs,Not disclosed,Gurgaon,Designation: Business Analyst & Corporate Finance Job role: Perform financial forecasti...,"Excel
Financial reporting
Data management
Financial analysis
Market research
Corporate finance
Business intelligence
Forecasting"
Business Analyst - ITSM - 3-7 Years - Pune,AB2 Consulting Pvt Ltd,3-7 Yrs,Not disclosed,Pune,"Experience in Scrum environmentThese solutions must be aligned with business, IT strate...","User Acceptance Testing
Project Management
waterfall
User Stories
Scrum
agile
ITIL
Data Analytics"
Assistant Manager/ Manager/ Senior Business Analyst - SAS,Huquo Consulting Pvt. Ltd,2-7 Yrs,Not disclosed,"Delhi NCR, Gurgaon",#NAME?,"Consulting - BFSI
SAS
Data Management
Statistics
Analytics
SQL"
Associate - Business Analyst - Data Lifecycle Management,Morgan Stanley Advantage Services Pvt. Ltd.,2-3 Yrs,Not disclosed,Mumbai,PrimaryResponsibilities The Data Lifecycle Management (DLM) team is part of the InfoMgm...,"Business Analyst
Legal compliance
Data management
Wealth management
Investment banking
Information management
Investment management
Visio"
Sr . CRM Business Systems Analyst,Arlo,5-10 Yrs,Not disclosed,India,Position DescriptionSr. CRM Business Systems AnalystFunctionITIndiaJoin Arlo s CRM Tech...,"Computer science
SOA
Data management
RDBMS
Javascript
Workflow
HTML
Informatica"
Sr Business Analyst (financial Crime Prevention),Mphasis Limited,5-8 Yrs,Not disclosed,Bengaluru,"Education qualification: BTech, BE or equivalent technical degree from a reputed colleg...","Aml
Data Reconciliation
Nice Actimize
Financial Services
SAS
Banking
Data Analytics
BAE NetReveal"
Business Analyst,S-Square Spenta Technologies,2-3 Yrs,Not disclosed,Bengaluru,Educational qualification B.Tech /MBA/B.E or equivalent Skills required 1. Insights int...,"Analytical skills
Business Analyst
management
Cataloguing
Cloud
Data analytics
Business modeling
Budgeting"
Business Analyst,RGF Professional Recruitment India,3-5 Yrs,Not disclosed,Gurgaon,"Job description ? Support in research, data analytics and presentations pertaining to c...","Project development
business opportunity
Business Analyst
Solar energy
EPC
Data analytics
Management
MS Office"
Senior Business Analyst,Informatica Business Solutions Pvt Ltd,2-6 Yrs,Not disclosed,Bengaluru,"Your Opportunity In this role, you will be reporting to the IT Senior Manager, Applicat...","Business Analyst
Data management
MIS
CMS
Agile
HTML
Customer support
Informatica"
Business Analyst I,Varite,2-5 Yrs,Not disclosed,Bengaluru,Requirements / Skills:- Preferred candidate should have 1 year of professional experien...,"Business Analyst
Data management
Quality check
Project coordination
Support services
Research
MS Office
Powerpoint"
Business Analyst - Sas/reporting,Huquo Consulting Pvt. Ltd,3-5 Yrs,Not disclosed,Bengaluru,"Bachelors Degree in IT or related field, or equivalent experienceRole Description: Must...","SAS
MIS
Data Analytics
Statistics
Analytics
SQL"
Senior Business Analyst/ Assistant Manager - SAS Analytics,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Delhi NCR,Experience in banking / retail/DM domain with knowledge across customer lifecycle is mu...,"SAS
Linear regression
Data Analytics
logistic regression
Statistics
Analytics"
Business Analyst,Forstaffing - Executive Search Firm,4-8 Yrs,Not disclosed,Gurgaon,Hard working and positive attitude with the zeal to do things Responsibilities: Looking...,"Excel
Business Analyst
Data analytics
New product development
Management
Fund raising
Powerpoint
Investment"
Sr . Business Analyst,Decision Point Analytics,2-4 Yrs,Not disclosed,Gurgaon,Roles and Responsibilities: The incumbent for the position is expected to deliver but n...,"Analytical skills
Retail
Automation
Excel
SAS
Data management
Business Analyst
Retail management"
Senior Business Analyst - Sas/model Development/analytics,Huquo Consulting Pvt. Ltd,2-4 Yrs,Not disclosed,"Bengaluru, Gurgaon","SAS is Mandatory - Use sophisticated statistical techniques to develop scorecards, cust...","Predictive Modeling
SAS
Data Management
Statistics
Analytics
Business Analysis
SQL"
Business Analyst,Intellial Solutions Pvt Ltd.,0-1 Yrs,Not disclosed,Ahmedabad,Designation: Business Analyst Key skills Required: Act as a customer s representative i...,"Business process
Business Analyst
Agile development
Test management
Data analytics
Management
JIRA
Business applications"
Business / Product Analyst,"CanGo Networks Pvt Ltd.,",1-5 Yrs,Not disclosed,Chennai,Roles and Responsibilities Greetings from CanGo Networks! Have you ever dreamt of worki...,"Telecom
Artificial Intelligence
product analyst
Big Data
business analyst
Data Analytics
Startup"
Business Analyst -customer Data Management - Bangalore - Marathahalli,Varite India Pvt. Ltd.,1-3 Yrs,Not disclosed,Bengaluru,Willing to work in rotation shift based on business requirement every quarterShould be ...,"Communication Skills
Sales Support
Data Management
Quality Check
User Acceptance
MS Office
Project Coordination
Computer Skills"
"Business Analyst, R&D",Aptean,2-5 Yrs,Not disclosed,Bengaluru,Open Position : Business Analyst Mandate/Role This position works closely with Product ...,"Computer science
Product management
ERP
Data management
Customer support
VB
microsoft
CRM"
Senior Business Analyst - SAS + Modeling - Analytics,Huquo Consulting Pvt. Ltd,4-6 Yrs,Not disclosed,Gurgaon,Candidate is expected to bring in a consultative mindset and problem solving approach a...,"Predictive Modeling
Consulting - BFSI
SAS
Statistical Modeling
Data Analytics
Statistics
Analytics
Predictive Analytics"
Senior Business Analyst - SAS Modeling - Insurance/banking Vertical,Huquo Consulting Pvt. Ltd,2-7 Yrs,Not disclosed,Gurgaon,Candidate should have excellent communication skills to interact with senior clients Sh...,"Predictive Modeling
Consulting - BFSI
SAS
Senior Business Analyst
Data Modeling
Data Analytics
Analytics
Business Analysis"
We're Hiring - Credit Analyst,PUMA ENERGY PROCESSING SERVICES LLP,3-7 Yrs,Not disclosed,Mumbai(Bandra Kurla Complex),Minimum 3 years experience as a credit analystMicrosoft Office proficient Prepare repor...,"Financial Reporting
Master Data Management
Credit Risk Analysis
Credit Analyst
Communication Skills
Written Communication
Credit Risk Management
Accounting"
Business Analyst - Banking/ Retail Analytics,Huquo Consulting Pvt. Ltd,1-5 Yrs,Not disclosed,"Delhi NCR, Bengaluru, Gurgaon",1. 1-5 years of total experience of Data Analytics / Data Insights Generation 2. Proven...,"Consulting - BFSI
SAS
Retail Analytics
Data Analytics
Statistics
Analytics
Consulting - Retail"
Business Analyst & Corporate Finance,ADROIT LEARNING AND MANPOWER PVT LTD,2-7 Yrs,Not disclosed,Gurgaon,Designation: Business Analyst & Corporate Finance Job role: Perform financial forecasti...,"Excel
Financial reporting
Data management
Financial analysis
Market research
Corporate finance
Business intelligence
Forecasting"
Business Analyst - ITSM - 3-7 Years - Pune,AB2 Consulting Pvt Ltd,3-7 Yrs,Not disclosed,Pune,"Experience in Scrum environmentThese solutions must be aligned with business, IT strate...","User Acceptance Testing
Project Management
waterfall
User Stories
Scrum
agile
ITIL
Data Analytics"
Assistant Manager/ Manager/ Senior Business Analyst - SAS,Huquo Consulting Pvt. Ltd,2-7 Yrs,Not disclosed,"Delhi NCR, Gurgaon",#NAME?,"Consulting - BFSI
SAS
Data Management
Statistics
Analytics
SQL"
Associate - Business Analyst - Data Lifecycle Management,Morgan Stanley Advantage Services Pvt. Ltd.,2-3 Yrs,Not disclosed,Mumbai,PrimaryResponsibilities The Data Lifecycle Management (DLM) team is part of the InfoMgm...,"Business Analyst
Legal compliance
Data management
Wealth management
Investment banking
Information management
Investment management
Visio"
Sr . CRM Business Systems Analyst,Arlo,5-10 Yrs,Not disclosed,India,Position DescriptionSr. CRM Business Systems AnalystFunctionITIndiaJoin Arlo s CRM Tech...,"Computer science
SOA
Data management
RDBMS
Javascript
Workflow
HTML
Informatica"
Sr Business Analyst (financial Crime Prevention),Mphasis Limited,5-8 Yrs,Not disclosed,Bengaluru,"Education qualification: BTech, BE or equivalent technical degree from a reputed colleg...","Aml
Data Reconciliation
Nice Actimize
Financial Services
SAS
Banking
Data Analytics
BAE NetReveal"
Business Analyst,S-Square Spenta Technologies,2-3 Yrs,Not disclosed,Bengaluru,Educational qualification B.Tech /MBA/B.E or equivalent Skills required 1. Insights int...,"Analytical skills
Business Analyst
management
Cataloguing
Cloud
Data analytics
Business modeling
Budgeting"
Business Analyst,RGF Professional Recruitment India,3-5 Yrs,Not disclosed,Gurgaon,"Job description ? Support in research, data analytics and presentations pertaining to c...","Project development
business opportunity
Business Analyst
Solar energy
EPC
Data analytics
Management
MS Office"
Senior Business Analyst,Informatica Business Solutions Pvt Ltd,2-6 Yrs,Not disclosed,Bengaluru,"Your Opportunity In this role, you will be reporting to the IT Senior Manager, Applicat...","Business Analyst
Data management
MIS
CMS
Agile
HTML
Customer support
Informatica"
Business Analyst I,Varite,2-5 Yrs,Not disclosed,Bengaluru,Requirements / Skills:- Preferred candidate should have 1 year of professional experien...,"Business Analyst
Data management
Quality check
Project coordination
Support services
Research
MS Office
Powerpoint"
Business Analyst - Sas/reporting,Huquo Consulting Pvt. Ltd,3-5 Yrs,Not disclosed,Bengaluru,"Bachelors Degree in IT or related field, or equivalent experienceRole Description: Must...","SAS
MIS
Data Analytics
Statistics
Analytics
SQL"
