role,company,exp,salary,location,desc,req
business intelligence analyst,Art of Living HR,2-7 Yrs,Not disclosed,Bengaluru,Coordinate with customers from multiple countries and business analysts to determine bu...,"Data analysis
Google Analytics
Coding
Data modeling
Analytical
Data collection
Market research
Business intelligence"
business analyst,Imperial Training & Consulting,3-7 Yrs,Not disclosed,Hyderabad,Job Description: Communicate key insights and findings to product team The data analyst...,"Administration
Data analysis
Business analysis
Technical writing
Analytical
Strategic planning
Macros
Operations"
sr business analyst,Analytics Vidhya Educon Pvt. Ltd,7-12 Yrs,Not disclosed,Bengaluru,Job description : Support all business areas of Target with critical data analysis that...,"Data analysis
customer analytics
Business Analyst
Analytical
Risk assessment
OLAP
HTML
Data mining"
sr business analyst,Analytics Vidhya Educon Pvt. Ltd,6-11 Yrs,Not disclosed,Bengaluru,Can you own end to end processes involved in Business Analytics role (MIS / dashboardin...,"Business process
Data analysis
SAS
RDBMS
MIS
Business analytics
Analytical
HTML"
sr . business analyst,Analytics Vidhya Educon Pvt. Ltd,6-11 Yrs,Not disclosed,Bengaluru,"Job Description: The Business Analyst should have a strong quantitative orientation, a ...","Computer science
VMware
Data analysis
Automation
SAS
Analytical
Data collection
HTML"
analyst - bluemine - business research,Analytics Vidhya Educon Pvt. Ltd,5-10 Yrs,Not disclosed,Bengaluru,Job description : Responsibilities: Acting as the focal point for an assigned set of in...,"Analyst
Data analysis
Team management
Business research
Business analysis
HTML
Advanced Excel
Research"
business analyst,Magika Smartech,5-6 Yrs,Not disclosed,Mumbai,"Roles and Responsibilities: Evaluating business processes , anticipating requirements ,...","Data analysis
Data validation
Analytical
Healthcare
Application development
Business solutions
Information technology
User acceptance testing"
sr analyst - spss / statistical modeling,Analytics Vidhya Educon Pvt. Ltd,3-7 Yrs,Not disclosed,Gurgaon,"BTech/Msc Stats from a Reputed College/University Skill sets -SPSS, R, Statistical Mode...","Data analysis
Statistical modeling
Business analysis
Analytical
HTML
Data quality
SPSS
Operations"
partner analytics business analyst,Analytics Vidhya Educon Pvt. Ltd,2-5 Yrs,Not disclosed,Bengaluru,•Provide overall Business Intelligence & Reporting support to the Partner Organization ...,"business intelligence reporting
Data analysis
MS Access
Business analytics
SSRS
HTML
Powerpoint
OBIEE"
business analyst,Credence Resource Management Pvt Ltd,3-8 Yrs,"4,00,000 - 6,50,000 PA.",Pune(Kharadi),Graduation / Masters (preferably Computer Science) with object oriented programmingPref...,"Monthly Reports
Accounting
SQL Queries
Data Extraction
Advanced Excel
Business Analysis
Business Solutions
Excel"
statistical analyst,GSK and Company,4-7 Yrs,Not disclosed,Bengaluru,Writing specifications for SAS programsmacros for study specific analyses or at the sta...,"Procurement
Career development
Data analysis
Social media
Healthcare
SAS Programming
Statistical Analyst
Macros"
business analyst cum executive assistant to ed,NetCreativeMind Solutions Private Limited,7-12 Yrs,Not disclosed,Gurgaon,Responsiblities for BA Analyst Project Management: RPF- Request for proposal To be docu...,"Supply chain
Data analysis
Project management
Formulation
Business planning
Gap analysis
Data mining
SQL"
business analyst,Soul Ace,2-5 Yrs,Not disclosed,"Gurgaon, Gurgaon",Experience or Academic Qualification in the field of environmental related issues/ CSR/...,"Help Desk
Customer Service
data analysis
customer relationship
Telephony support
Legal
Intellectual Property
Vendor Management"
systems/business analyst,ICL Systems,3-5 Yrs,Not disclosed,Gurgaon,"ICL Systems Systems/Business Analyst Gurgaon, IND 110015 ICL Systems is the leading pro...","Supply chain
Analytical skills
Analyst
Data analysis
Interpersonal skills
Software development life cycle
Software implementation
Automotive"
manager business analyst,P&G,1-3 Yrs,Not disclosed,Mumbai,Key Responsibilities: P artner closely with various category & multi-functional teams t...,"Business process
Data analysis
Business analytics
Consulting
Data collection
Predictive modeling
Investment banking
Business intelligence"
business analyst,Seven Consultancy,3-5 Yrs,Not disclosed,Bengaluru,"Proficient in other analytical tools (e g Google Analytics , Advance Excel Google Sheet...","Customer acquisition
Statistical modeling
Google Analytics
Data management
Business Analyst
Business analysis
Analytical
Data analytics"
sr. business analyst - reporting + predictive modeling - bfsi,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Bengaluru,Experience of handling a team of analysts working on various MIS with strick timelines ...,"Predictive Modeling
Consulting - BFSI
SAS
Data Management
Statistical Modeling
Data Analytics
Statistics
Analytics"
sr. business analyst - reporting + vba - bfsi,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Bengaluru,Experience of handling a team of analysts working on various MIS with strick timelines ...,"Consulting - BFSI
SAS
Business Analyst
Data Management
Data Analytics
Statistics
Analytics
Business Analysis"
sr business analyst/ assistant manager- machine learning/ r/ python,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Noida,Shift Timing - 12 noon to 9 PM Experience Required - 2 to 5 yrs We are looking for cand...,"Predictive Modeling
NLP
Artificial Intelligence
Data Management
Data Analytics
Machine Learning
Analytics
Python"
data scientist- clevertap,Gladwin Analytics Private Limited (OPC),2-4 Yrs,Not disclosed,Mumbai,Customer analytics/data analytics. Strong in SQL (Postgresql/Oracle SQL/Amazon redshift...,"Data Scientist
Postgresql
Machine learning
clevertap
Data science
Tableau
Data Analytics
Analytics"
data scientist - image recognition/machine learning,CarbyneTech India,5-10 Yrs,Not disclosed,Hyderabad,Proficient programming skills in a high-level language (e.g Deep experience with text-w...,"NLP
Data Scientist
Time Series Analysis
Artificial Intelligence
Data Management
Image Recognition
Distributed Computing
Machine Learning"
sr. business analyst - business intelligence vertical - online/ecom,TalPro,2-4 Yrs,Not disclosed,Gurgaon,Experience with clickstream data is strongly desired B Tech/ BE /M Tech Graduate in Com...,"Business Intelligence
Senior Business Analyst
Data Mining
Data Analytics
Analytics
Business Analysis
SQL
Python"
data scientist,New Era India,17-23 Yrs,Not disclosed,Bengaluru,"Educational Qualification : - Advanced degree, Masters or PH.D in Computer Science, Sta...","Java
Data Scientist
OOPS
Data Management
Big Data
Data Mining
PhD
Algorithm"
associate data scientist,Right Step Consulting,3-6 Yrs,Not disclosed,Noida,Brief Role : Associate (data Scientist) Exp. Req. 3 - 6 yrs; Location Noida Package Off...,"E-learning
Linux
Data management
Javascript
Tools
Business intelligence
Digital marketing
Analytics"
data analyst,HR VISION,3-8 Yrs,"3,50,000 - 7,00,000 PA.",Bengaluru,"Strong exp in building complex SQL Advanced Excel & Macros. Strong logical, analytical ...","Data Validation
Java
C
Countif
Formulas
Advanced Excel
VB
MIS Reporting"
sr. data scientist - marketing analytics,TVS Credit Services Limited,4-9 Yrs,Not disclosed,Chennai(Nungambakkam),"MBA / Post Graduate from Statistical background, Be proficient synthesizing competitive...","customer analytics
marketing analytics
attribution modelling
market mix modelling
campaign analytics
Machine Learning"
data management analyst required in canada and hongkong,Beyond Infinity Consultancy,2-5 Yrs,"37,50,000 - 85,00,000 PA.","Hong Kong, Canada",Abhinay:- 9319211628 DUTIES AND RESPONSIBILITIES Assumes general responsibility for the...,"data analysis
Software Services
it services
Data Management
reporting analyst
Database Testing
Data Analyst
market research"
manager business analyst,Procter & Gamble,1-3 Yrs,Not disclosed,Mumbai,Overall work would be a good mix of delivering today (70-80% time / capacity) and craft...,"Data Science
Business Analytics
PowerBI
experimental analysis
predictive modeling
Big Data
Tableau
Data Analytics"
data scientist - image processing/machine learning,CarbyneTech India,6-11 Yrs,Not disclosed,Hyderabad,proficiency with variety of approaches and models from a reputed institute 6-8 years of...,"Predictive Modeling
Data Science
Data Scientist
Time Series Analysis
Image Processing
Data Management
Statistical Analyst
Machine Learning"
data scientist - analytics & bi,Golechha Capital,4-9 Yrs,Not disclosed,Hyderabad,About the Role The recently incorporated team at Monech has a mission of building syste...,"SAS
Analytical
Management consulting
Capital market
Business intelligence
Data mining
Portfolio management
Financial services"
lead data scientist,Bit Brothers Tech Pvt Ltd,4-6 Yrs,Not disclosed,Mumbai,We are looking for a Lead Data Scientist to lead a technical team and help us gain usef...,"Computer science
Statistical analysis
Data management
data science
Machine learning
Data quality
Data mining
MATLAB"
sr. data scientist,Tenzai,6-8 Yrs,Not disclosed,Bengaluru,"Graduate in a quantitative subject (engineering, maths, statistics, econometrics, manag...","customer segmentation
Computer vision
Machine learning
Data analytics
Data mining
Econometrics
big data
Forecasting"
data scientist,Ultria,3-7 Yrs,Not disclosed,Bengaluru,Description AI team at Ultria is working on state of the art Natural Language Processin...,"ERP
Master data management
Artificial Intelligence
Machine learning
SCALA
data governance
Natural language processing
data integrity"
data analyst,Krazy Mantra HR Solutions Pvt. Ltd,4-8 Yrs,Not disclosed,Pune(Kalyani Nagar),Certification in Data Engineering / Data Science is a plusShould have a very good hands...,"Data Science
Data Engineering
Snowflake
Data Analysis
Tableau
Data Analytics
ETL
Machine Learning"
data scientist - manufacturer of high quality storage products,NewAge Products Inc,5-10 Yrs,Not disclosed,Mumbai,Work closely with sales operations and digital implementation teams to identify opportu...,"python
predictive modeling
neural networks
business solutions
product data management
clustering
machine learning
inventory management"
sr. data scientist - marketing analytics,Scienaptic Systems,5-7 Yrs,Not disclosed,Bengaluru,We are looking for an energetic and experienced person with expertise in Marketing Anal...,"CVS
Marketing analytics
Automation
Business analytics
Machine learning
Data mining
Digital marketing
Forecasting"
business intelligence analyst,CERNER HEALTHCARE SOLUTIONS PVT LTD,3-8 Yrs,Not disclosed,Bengaluru,"Job Description As a Business Intelligence Analyst, you are responsible to define, impl...","Computer science
Business Intelligence Analyst
Programming
Healthcare
Data analytics
Advanced Excel
data visualization
Business intelligence"
data scientist - nlp/r/python,The Hiring Story,2-5 Yrs,Not disclosed,Hyderabad,NLP experience is a mustRequired Candidate profile Proficient in R and Python Experienc...,"Data Science
R
NLP
NoSQL
Data Scientist
Data Management
Python
SQL"
data science/ scientist - python/ deep learning,New Era India,7-12 Yrs,Not disclosed,Bengaluru,"Job Description :- Strong experience in Python, ML/Deep Learning and Neural networks is...","Data Science
Java
C++
Data Scientist
Artificial Intelligence
Data Management
Machine Learning
Algorithm"
data scientist process analytics group,Tridiagonal Solutions Pvt. Ltd.,7-12 Yrs,Not disclosed,Pune,"About an Opportunity : For our Data Science and Analytics Practice, we are looking for ...","Mining
Computer science
Data management
Pharma
Consulting
Workflow
Data quality
Troubleshooting"
data scientist - python/sas/r,Huquo Consulting Pvt. Ltd,2-6 Yrs,Not disclosed,Mumbai,"Data Scientist - Python/SAS/R - Analytics Center of ExcellenceAs a Data Scientist, you ...","Data Science
SAS
Data Scientist
Data Mining
Data Visualization
Web Analytics
Data Analytics
Statistics"
sr. data scientist,Karvy Analytics,5-10 Yrs,Not disclosed,Hyderabad,Senior Data Scientist The Senior Data Scientist role will lead participation in require...,"rest
development
code
Image processing
big data analytics
level
testing
System design"
data scientist,Diverse Lynx India Pvt. Ltd,3-5 Yrs,Not disclosed,Hyderabad,Must be able to clearly understand and articulate a data science problem and work on it...,"big data analytics
Machine learning
linear regression
Data structures
Natural language processing
Predictive modeling
Pattern recognition
Data mining"
data scientist,Clinton Health Access Initiative,3-8 Yrs,Not disclosed,Delhi,Role We seek a highly motivated individual with demonstrated analytical abilities for t...,"Product management
Supply chain management
Data management
Data structures
HTTP
Stored procedures
Open source
Analytics"
"data scientist, nlp",Fractal.ai,2-6 Yrs,Not disclosed,Bengaluru,"Role Brief: As a NLP Data Scientist in the Consumer analytics team, you will be buildin...","deep learning
customer analytics
Statistical analysis
Executive
Diagnostics
Artificial Intelligence
Machine learning
Data analytics"
"data scientist, nlp",Fractal Analytics Ltd,3-7 Yrs,Not disclosed,Bengaluru,"Role Brief: As a NLP Data Scientist in the Consumer analytics team, you will be buildin...","deep learning
customer analytics
Statistical analysis
Executive
Diagnostics
Artificial Intelligence
Machine learning
Data analytics"
data scientist,Mindcurv Technology Solutions Pvt Ltd,4-8 Yrs,Not disclosed,Kochi,4+ years experience in Analytics systems / program deliveryInterpersonal and Team skill...,"Java
Maths
Azure
Big Data Analytics
Artificial Intelligence
Hadoop
Tableau
Machine Learning"
data scientist,Decision Point Analytics,2-4 Yrs,Not disclosed,Gurgaon,Roles and Responsibilities: The position requires the individual to bring together data...,"Statistical programming
Academic Research
SAS
Machine learning
SCALA
Data analytics
Data mining
Business understanding"
sr . data scientist,Decision Point Analytics,3-5 Yrs,Not disclosed,Gurgaon,Roles and Responsibilities: The position requires the individual to bring together data...,"Statistical programming
Academic Research
SAS
Machine learning
SCALA
Data analytics
Data mining
Business understanding"
data scientists and programmer,Zdaly,2-5 Yrs,Not disclosed,Bengaluru,Zdaly is looking for a statistician who loves to transform petabytes of data and build ...,"SAN
Health insurance
tableau
Data modeling
cassandra
Script writing
big data analytics
Machine learning"
requirement of data scientist - mortgage finance,FinAcPlus,3-8 Yrs,Not disclosed,Hyderabad,RESPONSIBILITIES Work with large data sets and produce real-time and streamlined analys...,"Business process
Computer science
Back office
Data analytics
data visualization
Data mining
Powerpoint
Macros"
sr. data scientist - pharma domain,Konnectrack Info Solutions,9-14 Yrs,Not disclosed,Hyderabad,Masters (or Bachelors from a top Tier University) in a quantitative discipline (e.g 8+ ...,"Data Science
R
NLP
SAS
Data Scientist
Artificial Intelligence
Statistical Analyst
SPSS"
data scientist -,Diverse Lynx India Pvt. Ltd,3-6 Yrs,Not disclosed,Hyderabad,? Must be able to clearly understand and articulate a data science problem and work on ...,"big data analytics
Machine learning
linear regression
Data structures
Log analysis
Predictive modeling
Pattern recognition
Data mining"
data scientist - python - iit/ dse/ iims,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,"Delhi NCR, Gurgaon","Must have knowledge in the following areas : Data Structures, Lists, Tuples & Dictionar...","NLP
Data Scientist
Data Management
Spark
Python
HBase"
assistant manager/ manager/ data scientist - python/ machine learning,Huquo Consulting Pvt. Ltd,3-8 Yrs,Not disclosed,Bengaluru,Experience in machine learning algorithm development EXPECTED EDUCATION/ TOOL EXPERIENC...,"Data Science
Predictive Modeling
NLP
Data Scientist
Data Management
Machine Learning
Python"
data analyst,Krazy Mantra HR Solutions Pvt. Ltd,4-8 Yrs,Not disclosed,Pune,Certification in Data Engineering / Data Science is a plusShould have a very good hands...,"Data Science
Data Engineering
Snowflake
Data Analysis
Tableau
Data Analytics
ETL
Machine Learning"
data analyst,Krazy Mantra HR Solutions Pvt. Ltd,4-8 Yrs,"50,000 - 3,00,000 PA.",Pune(Kalyani Nagar),Certification in Data Engineering / Data Science is a plusShould have a very good hands...,"Data Science
Data Engineering
Snowflake
Data Analysis
Tableau
Data Analytics
ETL
Machine Learning"
iteration manager - business analyst,IBM India Pvt. Limited,5-7 Yrs,Not disclosed,Bengaluru,Roles and Responsibilities IntroductionSoftware Developers at IBM are the backbone of o...,"Software Development
Project Management
SCOPE
Scrum Master
Agile
Java Api
JIRA
Data Analytics"
area manager- control tower operation/data analyst - for an e-commerce,One tree consulting,3-8 Yrs,"4,75,000 - 6,50,000 PA.","Chennai, Mumbai(Marol +2), Bengaluru",Good Knowledge of Advance excel Formula,"Control tower Operations
Data Analysis
Stakeholder Management
Team Management
Operations Strategy
Advanced Excel
Management Information System
MIS Reporting"
it business analyst- finance,Micron Technology Operations India LLP,5-10 Yrs,Not disclosed,Hyderabad,"Bachelors degree or equivalent experience in Information TechnologyMasters degree, Busi...","Business Intelligence
Business Finance
Accounting
Solution Delivery
Business Administration
Sap Hana
Data Modeling
Data Warehousing"
sr. business analyst- sap plm,Delict Technology Services,10-12 Yrs,Not disclosed,Bengaluru,Job Description Sr. Business Analyst ? SAP PLM Job Responsibilities? Worked as a SME in...,"Business process
Change management
Data management
Debugging
Test planning
Test cases
software quality
Document management"
business analyst / sr. business analyst,BNP Paribas,2-4 Yrs,Not disclosed,Mumbai,Responsibilities Direct Responsibilities Able to understand the business perspective an...,"Business process
Data management
Wealth management
Business analysis
Analytical
Asset management
Visio
Information technology"
data scientist,Seven Consultancy,2-7 Yrs,Not disclosed,Delhi,Analytical Model Development To develop end to end web based predictive & big data anal...,"advanced analytics
Renewable energy
data science
big data analytics
Analytical
Workflow
model development
Deployment"
digital marketing analyst,Iksula Services Pvt Ltd,3-8 Yrs,"4,00,000 - 8,00,000 PA.",Mumbai,"Google Analytics, Google Ads, Digital Marketing, Data Analytics, Data Analysis 3+ years...","Google Analytics
data analysis
data analytics
web analytics
digital marketing analyst
Marketing Analysis
Digital Marketing
google ads"
business analyst - capital markets and swift messaging,Larsen & Toubro Infotech Limited,3-6 Yrs,Not disclosed,Pune,Strong BA with 3-6 years of Capital Markets and SWIFT messaging experience. Aware of en...,"SQL queries
Business Analyst
Data management
SQL database
Consulting
Back office
Swift
data mapping"
sap finance business analyst,Allegis Services India Pvt. Ltd.,7-10 Yrs,Not disclosed,Bengaluru,Define governance and metrics documentation standards for master data and reportsYou ho...,"SAP FICO
Requirement Gathering
Financial Accounting
Master Data Management
Integration Testing
Project Implementation
SAP Finance
Reporting"
data analyst - tableau/ google analytics,The Hiring Story,2-5 Yrs,Not disclosed,Gurgaon,"Any other details (target company, work shifts, domain etc) : - Business Analysts from ...","R
Word
Google Analytics
Statistical Modeling
Data Analysis
Advanced Excel
Tableau
Data Analytics"
it business analyst,Micron Technology Operations India LLP,5-7 Yrs,Not disclosed,"Hyderabad, IN, AP","Bachelors degree or equivalent experience in Information TechnologyMasters degree, Busi...","Business Intelligence
Solution Delivery
Business Administration
Sap Hana
Data Modeling
Data Warehousing
Data Analytics
SAP Finance"
programmer analyst / software engineer / business analyst,Artha Solutions,1-4 Yrs,Not disclosed,"Bengaluru, Hyderabad",General Summary We are looking to add new members to our growing business and grow with...,"Computer science
Programmer Analyst
Data management
Business Analyst
Cloud
Manager Technology
big data
Analytics"
data scientist,HR Devi and Associates,5-7 Yrs,Not disclosed,Bengaluru,1. Build program expertise by improving data analytics and establishing the framework f...,"Data scientist
GAM
DATA ANALYTICS
Linear Regression
GLM
Decission trees"
big data analyst - bi/dw program management,Career Infosystem,7-10 Yrs,Not disclosed,Hyderabad,Proactively seeking clarification of requirements and direction Being able to work in s...,"Big Data Analyst
Program Management
Problem Solving
Data Analysis
Big Data"
sr. data scientist,ExecBoardinAsia,5-10 Yrs,Not disclosed,Bengaluru,"They are looking for a highly motivated individual, passionate about technology to join...","data cleansing
Project development
operational support
data science
Machine learning
Manager Technology
Data quality
Data analytics"
trainee data scientist,Analytics Vidhya Educon Pvt. Ltd,3-8 Yrs,Not disclosed,Pune,"Job description: Responsibilities Gain necessary skills in Predictive Modeling, Data Sc...","Social media analytics
Excel
data science
SAS
Data management
HTML
Predictive modeling
SPSS"
business analyst,BNP Paribas,1-4 Yrs,Not disclosed,Chennai,Day to Day activities include - o Analyzing the requests that are sent by users to chec...,"Unix
Wealth management
Data management
Strategic partnerships
Analytical
Asset management
Management
Information technology"
data scientist,Scalable Systems Pvt. Ltd.,4-7 Yrs,Not disclosed,bhubaneswar,Provide subject matter expertise and hands on delivery of Big Data Modeling platforms W...,"Computer science
Policies
Data management
Machine learning
Service
Perl
SPSS
QlikView"
database administrator / data scientist,The Dollar Business,5-7 Yrs,Not disclosed,Hyderabad,"Job responsibilities: Deep knowledge in data mining, machine learning, natural language...","NoSQL
Data management
RDBMS
MySQL
Machine learning
MongoDB
Natural language processing
Data mining"
lead data scientist,Huquo Consulting Pvt. Ltd,5-8 Yrs,Not disclosed,Bengaluru,"Education - Bachelors / Master degree with specialization in Statistics, Computer Scien...","Data Science
NLP
Data Scientist
Artificial Intelligence
Big Data
Statistical Modeling
Data Analytics
Machine Learning"
business analyst,Vidal Health TPA Private Limited,3-6 Yrs,Not disclosed,Bengaluru(Whitefield),Help determine the level of effort and time required for solution deliveryCreates detai...,"Requirement Gathering
Gap Analysis
Use Cases
Brd
User Stories
Functional Specifications
Data Extraction
FRD"
data analyst for a us product company in mumbai,Maestro Headhunters LLP,3-8 Yrs,"5,00,000 - 15,00,000 PA.",Mumbai,Google Analytics Advanced Certification preferredProficient in building statistical mod...,"Big Data Analytics
Google Analytics
statisitics
google data studio
Data Analysis
Data Visualization
Tableau
bigquery"
barclays- sas data analyst.,Resource Solutions India Pvt Ltd,1-6 Yrs,Not disclosed,Noida,Analytical ability - Must have a clear understanding and experience in performing data ...,"excel
analytics
data analysis
sas sql
data modeling
SAS Programming
Data Analytics
sas programmer"
data analyst,Arminus Software Pvt. Ltd.,1-2 Yrs,Not disclosed,Bokaro,Minimum Experience: 1-2 years of relevant work experience in data entry/data management...,"MIS
Data Management
Data Analyst
Data Entry"
data analyst - internet/ online,Talhive,1-4 Yrs,Not disclosed,Mumbai,BTech / BE from recognized institutes Work very closely with other teams of Kukufm for ...,"Excel
Segmentation
Requirement Gathering
Computer Science
Problem Solving
Data Analysis
Data Analytics
New Product"
data scientist visualization,Analytics Vidhya Educon Pvt. Ltd,8-10 Yrs,Not disclosed,Pune,Job description: Qualification and Skills Required Experience Required : 8+ Years Exper...,"SAS SQL
tableau
Data modeling
Author
HTML
Predictive modeling
Data analytics
Data mining"
consultant- data analyst,Credence HR Services,7-9 Yrs,"9,00,000 - 14,00,000 PA.",Bengaluru,Greetings from Credence HR Services!!We are hiring for one of our clients for the capti...,"Data Management
Data Governance"
data analyst - data warehousing/metadata,Thats My Job,1-5 Yrs,Not disclosed,Mumbai,Data Analyst Requirements : - Bachelors degree from an accredited university or college...,"Data Quality
RDBMS
MDM
Data Management
Metadata
Data Mining
Data Analyst
Data Warehousing"
data scientist,Mahajan Imaging,2-6 Yrs,Not disclosed,Delhi,Responsible for driving Mahajan Imaging's new focus on medical informatics and data ana...,"Medical imaging
Focus
Access
Clinical research
Medical
Data analytics
informatics
SQL"
data scientist,Symmetrical Management Consulting,5-10 Yrs,Not disclosed,Noida,"Job Description : Conduct custom analytical studies in their entirety, from project inc...","Statistical analysis
SAS
Database management
Data collection
HTML
WPS
Manager Quality Control
Data mining"
data analyst - salesforce,RGF SELECT INDIA PRIVATE LIMITED,2-5 Yrs,Not disclosed,Gurgaon(MG Road),The position of Data Analyst is a critical role for RGF. We are seeking an enthusiastic...,"Data Research
Data Analysis
Salesforce
New Business
Communication Skills
Business Planning
Excel
Secondary Research"
data analyst for mumbai,Softlogique IT Solutions Pvt Ltd,3-5 Yrs,Not disclosed,Mumbai,Immediate Joiner required,"Predictive Modeling
Statistical Modeling
Data Analytics
Analytics"
sr. data scientist,Walmart Labs,5-9 Yrs,Not disclosed,Bengaluru,"Your Responsibility - Play a key role to solve complex problems, pivotal to Walmart s b...","data science
big data analytics
Analytical
Technical Lead
Data mining
Teradata
big data
Forecasting"
data scientist,Reubro International,3-8 Yrs,Not disclosed,"Kochi, Cochin/ Kochi/ Ernakulam",Job Profile : We are looking for data scientists with proven record of applying data sc...,"sap
data management
data mining
operations research
business solutions
api
machine learning
tools"
data scientist,Reubro International,3-8 Yrs,Not disclosed,Kochi,Job Profile : We are looking for data scientists with proven record of applying data sc...,"sap
data management
data mining
operations research
business solutions
api
machine learning
tools"
data scientist,Optimum Solutions,5-10 Yrs,Not disclosed,Chennai,"Need candidates who have experience in application development, data analytics. Candida...","hive
spark
SCALA
Hadoop
Application development
Data analytics
Teradata
SQL"
data scientist,Mahajan Imaging,2-6 Yrs,Not disclosed,Delhi,Responsible for driving Mahajan Imaging's new focus on medical informatics and data ana...,"Medical imaging
Focus
Clinical research
Data analytics
informatics
SQL"
sr. consultant - data scientist - bengaluru - analytics vidhya,Analytics Vidhya Educon Pvt. Ltd,14-16 Yrs,Not disclosed,Bengaluru,Sr. Consultant - Data Scientist - Bengaluru (9 - 14 Years of Experience) - Analytics Vi...,"Computer science
Text mining
deep learning
big data analytics
Artificial Intelligence
Consulting
Machine learning
HTML"
data scientist,Reubro International,3-8 Yrs,Not disclosed,Kochi,b Profile : We are looking for data scientists with proven record of applying data scie...,"sap
data management
data mining
solutions
operations research
api
machine learning
sql"
mis executive,Associated Resource Company (ARC),2-5 Yrs,Not disclosed,Mumbai,We are looking for MIS Executive for an Electrical Products manufacturing company Locat...,"MIS reporting
Data analysis
Excel
Data management
VLOOKUP
Advanced Excel
MS Word
Electricals"
mis- reporting analyst sr.process executive,Inspiration Manpower Consultancy Pvt. Ltd.,3-6 Yrs,Not disclosed,Hyderabad,"This position is responsible for collecting, analyzing and presenting data. To provide ...","Process Executive
Report generation
Data analysis
Automation
Data management
Reporting Analyst
Staffing
Process improvement"
python developer,Diverse Lynx India Pvt. Ltd,2-6 Yrs,Not disclosed,Bengaluru,Expertise in using R or Python to manipulate large data sets and develop statistical mo...,"hive
Data analysis
Fixed income derivatives
Statistical analysis
Data management
Hadoop
Equity
Predictive modeling"
mis executive,Imperial Training & Consulting,1-2 Yrs,Not disclosed,Gurgaon,Job Responsibilities: - Collating & maintaining Daily/ Weekly/ Monthly reports from dif...,"BPO
MIS reporting
Data analysis
Visual Basic
Data management
MS Word
Adobe
Monitoring"
mis executive,Mirror Consultancy Services,0-2 Yrs,Not disclosed,Chandigarh,Provide support and maintenance to existing management information systems (MIS). Gener...,"MIS reporting
Report generation
Data analysis
Customer management
Data management
System maintenance
Analytical
Management reporting"
hiring python developers,WELLS FARGO EGS (India) PRIVATE LIMITED,6-10 Yrs,"13,00,000 - 23,00,000 PA.","Bengaluru, Hyderabad",must be able to keep pace with the development team and adapt to changing requirementsE...,"Pyspark
Artificial Intelligence
Hadoop
SCALA
Big Data
Data Analysis
Data Analytics
Clustering"
mis executive,Rathi Personnel Training & Placement Services Pvt. Ltd.,1-3 Yrs,Not disclosed,Rohtak,Urgently required MIS Executive for Rohtak location with good computer knowledge.,"MIS reporting
Data analysis
Excel
Data management
VBA
MS Word
Powerpoint
CRM"
mis & analytics executive,Kheyti,5-10 Yrs,Not disclosed,Hyderabad,Job Description : We are seeking a full- time MIS Analytics Executive to join our growi...,"Data analysis
ERP
Data management
MIS
Business analytics
Management
Stakeholder management
Operations"
mis executive,Sidhartha Job Consultancy,2-5 Yrs,Not disclosed,Delhi,"MIS analysis of functional data ( daily, monthly, yearly) Budgeting & Costing Analysis ...","MIS reporting
Tally
Report generation
Data analysis
Costing
Data management
MS Word
Variance analysis"
business analyst,Innefu Labs Pvt. Ltd.,0-1 Yrs,Not disclosed,Delhi,We are only looking for male candidates who are in Delhi /NCR Duties include working wi...,"IT Skills
Big Data
RFPS
Big Data Analytics
Providing Training
Presales
Business Applications
Business Analysis"
data quality analyst - informatica/data profiling,Huquo Consulting Pvt. Ltd,3-5 Yrs,Not disclosed,Bengaluru,Bachelor Degree or equivalent experience Experience in data profiling and data quality ...,"Data Quality
Data Architect
Data Management
Data Profiling
Informatica
SQL"
it business analyst,Xpheno,5-10 Yrs,Not disclosed,Bengaluru,Job Description : 5+ years of industry experience in Data Management practices and meth...,"Business process
IT Business Analyst
Data management
Cloud
Agile
Manager Technology
Infrastructure
SDLC"
analyst - operation - algorithm & investment management - data center,Huquo Consulting Pvt. Ltd,1-3 Yrs,Not disclosed,Delhi NCR,BS / MS in Computer Science or a related technical field for top tier college CCNA cert...,"Analyst
Data Center
IT Project Management
IT Product Development
IT Infrastructure"
data quality analyst - iit/ iim,Huquo Consulting Pvt. Ltd,3-8 Yrs,Not disclosed,Bengaluru,IIT / IIM. ) Experience in data profiling and data quality analysis preferred Work Expe...,"Analyst
Data Quality
Data Management
Informatica
Data Quality Analyst
SQL"
data quality analyst - iit/iim,Huquo Consulting Pvt. Ltd,3-8 Yrs,Not disclosed,Bengaluru,Bachelor Degree or equivalent experience Experience in data profiling and data quality ...,"Technical Documentation
Data Quality
Business Rules
Quality Analysis
Data Management
Data Profiling
Informatica
Oracle"
data quality analyst - informatica/ data profiling,Huquo Consulting Pvt. Ltd,3-5 Yrs,Not disclosed,Bengaluru,Bachelor Degree or equivalent experience Experience in data profiling and data quality ...,"Data Quality
Data Architect
Data Management
Data Profiling
Informatica
SQL"
